t_s,phase,gap_mm,ref_mm,pwm
16.232,post,28.1,30.2,120
16.253,post,28.6,30.2,126
16.273,post,29.3,30.2,145
16.293,post,27.5,30.2,90
16.314,post,28.8,30.2,130
16.335,post,27.0,30.2,86
16.356,post,28.0,30.2,106
16.375,post,27.7,30.2,112
16.396,post,27.9,30.2,108
16.417,post,28.4,30.2,131
16.437,post,28.1,30.2,106
16.457,post,28.7,30.2,134
16.478,post,27.6,30.2,91
16.499,post,29.9,30.2,176
16.519,post,26.6,30.2,54
16.539,post,28.0,30.2,119
16.560,post,27.1,30.2,92
16.580,post,27.6,30.2,106
16.602,post,28.0,30.2,121
16.622,post,28.1,30.2,115
16.642,post,29.6,30.2,162
16.663,post,26.8,30.2,67
16.683,post,30.2,30.2,179
16.703,post,26.8,30.2,75
16.724,post,28.3,30.2,123
16.744,post,27.1,30.2,94
16.765,post,28.0,30.2,117
16.785,post,27.7,30.2,112
16.806,post,29.2,30.2,149
16.826,post,28.1,30.2,115
16.847,post,31.6,30.2,209
16.867,post,26.4,30.2,52
16.887,post,28.0,30.2,117
16.908,post,26.9,30.2,91
16.929,post,27.8,30.2,112
16.949,post,27.3,30.2,101
16.969,post,31.0,30.2,190
16.990,post,26.6,30.2,68
17.011,post,27.3,30.2,102
17.031,post,27.5,30.2,111
17.051,post,27.9,30.2,117
17.072,post,28.5,30.2,135
17.092,post,28.5,30.2,131
17.113,post,28.6,30.2,113
17.133,post,27.8,30.2,106
17.154,post,28.5,30.2,119
17.174,post,27.9,30.2,112
17.195,post,27.7,30.2,96
17.216,post,28.0,30.2,119
17.236,post,27.9,30.2,101
17.256,post,27.9,30.2,110
17.277,post,27.6,30.2,101
17.298,post,28.3,30.2,125
17.318,post,27.7,30.2,96
17.338,post,28.5,30.2,130
17.359,post,28.0,30.2,106
17.379,post,29.0,30.2,140
17.400,post,27.4,30.2,96
17.420,post,29.0,30.2,144
17.441,post,27.6,30.2,101
17.461,post,28.7,30.2,135
17.481,post,27.7,30.2,96
17.503,post,30.8,30.2,194
17.523,post,26.3,30.2,40
17.543,post,27.7,30.2,113
17.563,post,26.9,30.2,89
17.584,post,28.0,30.2,120
17.604,post,27.5,30.2,106
17.624,post,29.4,30.2,160
17.645,post,27.7,30.2,98
17.665,post,30.0,30.2,169
17.686,post,27.0,30.2,75
17.706,post,28.9,30.2,136
17.727,post,27.1,30.2,89
17.747,post,28.3,30.2,128
17.768,post,28.4,30.2,129
17.788,post,27.4,30.2,91
17.809,post,29.4,30.2,164
17.830,post,27.5,30.2,84
17.850,post,29.8,30.2,167
17.871,post,27.1,30.2,80
17.891,post,29.1,30.2,140
17.912,post,26.8,30.2,77
17.932,post,27.9,30.2,117
17.952,post,28.0,30.2,117
17.973,post,28.0,30.2,115
17.994,post,27.6,30.2,105
18.014,post,30.6,30.2,193
18.035,post,26.7,30.2,58
18.055,post,29.2,30.2,153
18.075,post,27.1,30.2,84
18.096,post,28.7,30.2,131
18.116,post,26.8,30.2,82
18.137,post,28.3,30.2,127
18.157,post,28.0,30.2,119
18.178,post,27.7,30.2,96
18.199,post,27.9,30.2,116
18.219,post,29.8,30.2,157
18.239,post,26.9,30.2,77
18.260,post,27.9,30.2,113
18.280,post,27.5,30.2,106
18.301,post,27.7,30.2,97
18.321,post,27.5,30.2,104
18.341,post,28.5,30.2,130
18.363,post,28.2,30.2,113
18.383,post,28.3,30.2,116
18.405,post,28.7,30.2,135
18.424,post,29.2,30.2,111
18.444,post,26.4,30.2,63
18.465,post,26.6,30.2,84
18.486,post,27.2,30.2,105
18.506,post,27.5,30.2,109
18.527,post,28.4,30.2,135
18.546,post,29.0,30.2,140
18.568,post,28.6,30.2,115
18.587,post,28.5,30.2,127
18.608,post,28.7,30.2,113
18.629,post,28.0,30.2,112
18.649,post,27.3,30.2,83
18.670,post,28.9,30.2,147
18.690,post,27.1,30.2,80
18.710,post,28.3,30.2,129
18.731,post,27.9,30.2,114
18.752,post,31.0,30.2,205
18.772,post,26.4,30.2,50
18.792,post,27.9,30.2,116
18.813,post,27.4,30.2,102
18.834,post,27.6,30.2,102
18.854,post,27.7,30.2,112
18.874,post,29.3,30.2,149
18.895,post,28.2,30.2,121
18.915,post,28.4,30.2,112
18.935,post,29.3,30.2,153
18.956,post,27.1,30.2,71
18.980,post,28.0,30.2,117
19.000,post,27.7,30.2,103
19.021,post,28.4,30.2,130
19.041,post,27.5,30.2,98
19.062,post,29.4,30.2,158
19.082,post,27.4,30.2,76
